number,handle name,handle ID,tweet,tweet time,retweet count,likes count
24,Saint Negrita,AsthmaPumpPuffa,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:47:21 +0000 2019,0,0
25,Aimée WimbushBourque,simplebites,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:47:31 +0000 2019,0,0
26,Rebecca Davies,RebsD,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:47:35 +0000 2019,0,0
27,Bernard Toyambi,BernardToya,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:47:37 +0000 2019,0,0
28,AlexMimikos,AlexMimikosyaho,"The family has asked for emergency staff to be part of today’s ceremony. Representatives from Halifax fire &amp; police services will form an honour guard, to escort the 7 caskets into the building. https://t.co/y0oUholcNr",Sat Feb 23 18:47:40 +0000 2019,0,0
29,Gay Garrett-Abbo,gglightbulb,Halifax Regional Police &amp; Halifax fire have just arrived at the Cunard Centre to take part in today’s funeral for the #Barho children. https://t.co/C9T7lsbem1,Sat Feb 23 18:47:41 +0000 2019,0,0
30,Sarah315,Sarah315er,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:47:59 +0000 2019,0,0
31,Helen T. Cooke,helentcooke,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:48:05 +0000 2019,0,0
32,John,JohnWBeaton,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:48:07 +0000 2019,0,0
33,Jasmin,AyeJazii,"Unimaginable sadness, but a heartening sense of community at a gathering of support for surviving Syrian refugee parents who lost all seven of their children in a devastating house fire.
Their names were Ahmad, Rola, Mohamad, Ola, Hala, Rana, and Abdullah
For @CdnPress 
#halifax https://t.co/MYt4pxrR9n",Sat Feb 23 18:48:10 +0000 2019,0,0
34,Tara Miller,TaraMiller72,"Guess what today is???

WINTERLUDE!

Come to McInnis Room at Dal this afternoon and evening for great music from students of Halifax Regional Arts Music (West). 

Also, lots of great opportunities to get great donations!

@HRCEmusic @HRCE_NS https://t.co/b4OVhymPIs",Sat Feb 23 18:48:11 +0000 2019,0,0
35,Aibinuola,1vitalsplash,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:48:12 +0000 2019,0,0
36,Paul Baillairge,BaillairgePaul,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:48:21 +0000 2019,0,0
37,sasha,usasasha,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:48:42 +0000 2019,0,0
38,OneRedCat Media,oneredcatmedia,Retired child and adolescent psychiatrist here. Halifax journalists &amp; members of the public: Do NOT photograph this mother's grief today. There is no measure of this level of trauma &amp; loss. Please let empathy &amp; decency rule. #BarhoFamily https://t.co/T1ExL5c5aj,Sat Feb 23 18:48:43 +0000 2019,0,0
39,pam keating,KeatingPam,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:49:01 +0000 2019,0,0
40,AlexMimikos,AlexMimikosyaho,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:49:02 +0000 2019,0,0
41,Tom Forth,thomasforth,"But it's particularly interesting because the people of Warrington (and Leeds, Hull, Widnes, St. Helens, Wigan, Wakefield, Cas, Pontefract, Salford, Huddersfield, Batley, Leigh, Halifax, etc...) won the war. England's players were paid for today's game. Rightly.",Sat Feb 23 18:49:03 +0000 2019,0,0
42,Brent E. Huffman,Brent_Huffman,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:49:06 +0000 2019,0,0
43,My testing account,my_data_test,"After long waiting , this is working! #Halifax
After long waiting , this is working! 
After long waiting , this is working! 
After long waiting , this is working!
After long waiting , this is working!",Sat Feb 23 18:49:10 +0000 2019,0,0
