number,handle name,handle ID,tweet,tweet time,retweet count,likes count
26,Maro Ulusoy,UlusoyMaro,"RT @JustinTrudeau: In times of tragedy, Canadians are there for each other. 
https://t.co/JgBeiLWHdV",2019-02-22 01:32:55,456,0
27,Adam Huffman,adamjameshuffm1,"RT @NatashaPace: Many people have been affected by the tragic house fire this week in Halifax. An expert has given me this list, which has the contact information for grief support groups across Nova Scotia, in case anyone would like to speak about how they are feeling. https://t.co/MXckmfhHUs",2019-02-22 01:32:16,26,0
28,Kevin George,itsjustkevy,"Thursday's Round Table: Kevin George on SNC-Lavalin, Halifax house fire, immigration and outdoor patios.  https://t.co/Z4VBpyi9hs",2019-02-22 01:31:48,0,0
29,Maro Ulusoy,UlusoyMaro,"RT @AndyFillmoreHFX: Lots of businesses in #Halifax are donating profits to the Barho family this week.

Here is a THREAD of the ones I know about – please flag any others and I'll add.",2019-02-22 01:31:47,91,0
30,Chris H,wpgchrish,"@infidelatheist Halifax is awesome. Of course, anywhere is better than Regina",2019-02-22 01:31:45,0,0
31,jenncm81,jcm8101,RT @RhondaBrown5: Even in the snow there is a lineup at @VandalDoughnuts Today all profits go to the #BarhoFamily #Halifax https://t.co/MyeXBn6p3H,2019-02-22 01:31:20,35,0
32,MB Top Employers,MB_Top_Employer,"Operational Coordinator: Great-West Life Assurance Company, The (Halifax NS): ""is one year contract, administrative role ensures all regular daily office functions are accomplished. This role will be accountable for the complia.. MBTopEmployers #eluta https://t.co/yuzH1Ya7ca",2019-02-22 01:31:08,0,0
33,Mid-Penn Motion Basketball,mid_penn_motion,"S/O to MPM soph @3130Paul (Halifax) &amp; MPM junior Alana Boyer (Susquenita) for being named to the Tri-Valley league 1st team all-star team!!!  Huge congrats to you, ladies!! #MPM",2019-02-22 01:30:32,1,1
34,dancemetotheendoflove,mypoortiredsoul,"RT @fagstein: TVA Nouvelles deletes a Facebook post about a fire in Halifax that killed seven Syrian refugee children because it couldn’t handle the deluge of comments from people celebrating the deaths of those children. (But no, there’s no islamophobia in Quebec.) https://t.co/zvZDpKuomE",2019-02-22 01:30:17,259,0
35,CTV News,CTVNews,Trudeau announces up to $86.5 million for Halifax expressway https://t.co/ZQuhMxPjTj https://t.co/I8EfVD5U4J,2019-02-22 01:30:14,0,3
36,Jean-Michel Blais,jeanmichelblais,RT @SonicConcerts: ICYMI: @jeanmichelblais's video for Dans Ma Main was nominated for a @PrismPrize: https://t.co/UYREPU4PzQ Buy tickets today to see him in #Moncton + #Halifax in April! https://t.co/lrEvbpiSPc,2019-02-22 01:29:45,1,0
37,Brittany Matchett,britt_m28,"RT @ourfoodproject: In Halifax, healthy eating isn't always easy or affordable. We all have a role to play in shaping the future of food in our communities. 

Learn more and take action at https://t.co/9HdBMDO7ub #hfxfoodcharter #NSPoli https://t.co/i1KK2CD4Bj",2019-02-22 01:28:32,6,0
38,Halifax Jobs,HalifaxJob,"Warehouse Worker: J.D. Irving, Limited (Dartmouth, NS): ""handlers/Warehouse Worker NEEDED Midland Transport Limited has become a leader in the transportation industry by providing superior quality service to our customers..."" halifax eluta https://t.co/g2ryQTgI3W",2019-02-22 01:27:36,0,0
39,Halifax Cycling,IBIKEHFX,"RT @EcologyAction: #DYK, #Halifax is leading the way in metropolitan sustainable transit. Nearly 12% of commuters use public #transportation and another 10% use active transport, like a bicycle. 

Watch to learn more https://t.co/MRKOJ7w3tp #NSpoli #NS #GreenEconomy #Accessibility #Commuting",2019-02-22 01:27:36,1,0
40,AshleyB,AshleyB03091362,"RT @JustinTrudeau: Words fail when children are taken from us too soon, especially in circumstances like this. My heart goes out to the survivors of the horrible fire in Halifax this morning, and the loved ones who are mourning this tremendous loss.",2019-02-22 01:27:30,1503,0
41,Web Design Jobs,Web_DesignJobs,"Intermediate Test Analyst: CGI Group Inc. (Halifax NS): ""clear, comprehensive, concise and organized manner . Test Case / Script Development. Test Management. Web Services. Investment Management. Portfolio Mangmt. Office Perm. Selen.. webdesign eluta https://t.co/y0cQnAMBqE",2019-02-22 01:26:05,0,0
42,ANTOJO Tacos+Tequila,AntojoTacos,"During February ONLY! Build Your Own Tacos for 2 - Choose 2 fillings: al pastor, cochinita pibil, roasted mushroom, chicken tinga or carnitas. Comes with pico de gallo, guacamole, slaw, hot sauces + bottomless tortillas. $30 for 2 ppl, or $40 for 4 ppl. #DineAround #Halifax https://t.co/20ynKES4fP",2019-02-22 01:26:02,0,0
43,Eric Wynne,EricW_Photos,"Feb. 21, 2019—Halifax Hurricanes’ Chadrack Lufile gets double-teamed by Island Storm’s Sampson Carter, left, and Tyree White after attempting a drive to the net in first quarter… https://t.co/TBQR3pAlTO",2019-02-22 01:25:53,0,0
44,Lenore Zann,ZannLenore,RT @nsadopteeadvoc1: Every elect/non elect member can be that positive change we in Nova Scotia deserve. Let's #ChangeTheActNS and stand tall in support of adult adoptees. No more silence no more excuses. #TickTock  #halifax #cdnpoli #nspoli @TwitCoast @nsgov @NSLeg @ZannLenore,2019-02-22 01:25:44,1,0
45,Gulnaaz Z. Lalji,gulnaazlalji,"RT @CBCMorningLive: ""Now, the family needs us more than ever."" Syrian refugee chocolatier @Peacebychoco tells @cbchh about why he's donating sales proceeds today to help the Barho family who lost seven children in the devastating Halifax house fire this week. https://t.co/HMhpQy8pCh",2019-02-22 01:24:52,82,0
46,Jesse Sharratt,JesseSharratt,Incredible! This is how a community comes together #Halifax https://t.co/e2dnrg6D7e,2019-02-22 01:24:14,0,0
47,Reality Check,hach_g,RT @CTVAtlantic: PM joins hundreds in Halifax square to remember 7 refugee children lost in fire https://t.co/nG82SP9Y8a,2019-02-22 01:23:40,38,0
48,Dayna_White,Dayna_White,"RT @JustinTrudeau: Words fail when children are taken from us too soon, especially in circumstances like this. My heart goes out to the survivors of the horrible fire in Halifax this morning, and the loved ones who are mourning this tremendous loss.",2019-02-22 01:23:22,1503,0
49,Donna Whitman,NSBooklady2,"@robertherjavec From Halifax, no less. Yeah Halifax. Have lived here almost all my life",2019-02-22 01:23:16,0,0
50,CCYF-CCJF,CCYF_CCJF,"RT @globalnews: Prime Minister Justin Trudeau drew supporters and protesters on Thursday as he offered a personal apology to a group of youth who were racially profiled while visiting Parliament.

https://t.co/QpvWgV4Nuz",2019-02-22 01:22:32,5,0
51,Halifax Jobs,HalifaxJob,"Retail Store Recruiter: J.D. Irving, Limited (Dartmouth, NS): ""is the largest retail building supply chain in Atlantic Canada. Our mission is to be the best source of home improvement products..."" halifax eluta https://t.co/WxoXSeDEBl",2019-02-22 01:22:29,0,0
52,Pierre Le Fevre,PierreLeFevre18,"RT @JustinTrudeau: Dans les moments tragiques, les Canadiens sont là les uns pour les autres. 
https://t.co/PIzzC6Jk5k",2019-02-22 01:21:47,73,0
53,Mana,martin_mana1,"RT @AndyFillmoreHFX: Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield. 

They arrived as refugees – but they became our neighbours. Our thoughts are with the survivors and their loved ones.

My statement from the House of Commons: https://t.co/p4nYBbwf8e",2019-02-22 01:21:41,293,0
54,raswood,ruthannermt,"RT @mrstopviolence: Me - ""Hey PM @JustinTrudeau my name's Quentrel Provo and I'm going to be Canada's 1st Black Prime Minister"" PM's response - ""Just let me get in a few more terms."" Haha okay deal and we shake on it! #halifax #Dartmouth #NovaScotia #cdnpoli #nspoli #BlackHistoryMonth https://t.co/Fg9WHN44iu",2019-02-22 01:21:26,35,0
